annotation_dataset	contig	gene	start_position	end_position	strandedness	AMG	rank	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags	AMG_gene_id	AMG_gene_description	AMG_category	AMG_header	AMG_subheader	AMG_module	ARAGORN_tRNA_count	ARAGORN_tRNA_species
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_27	14819	15199	+		C	ppar:A8F97_11990		ppar:A8F97_11990  hypothetical protein	False	0.524	123.0	3.4040000000000004e-30																				0.0	2.0	2.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_28	15385	16176	-		C	pmon:X969_12430		pmon:X969_12430  hypothetical protein	False	0.306	125.0	1.1340000000000002e-28																				0.0	2.0	2.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_29	16354	16677	+		C	elh:ETEC_4332		elh:ETEC_4332  hypothetical phage protein	False	0.65	139.0	4.634e-36														T3SS negative regulator,GrlR [PF16518.8]						0.0	2.0	2.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_30	16958	17371	+		C	prg:RB151_033100		prg:RB151_033100  hypothetical protein	False	0.873	251.0	2.042e-74														Putative phage holin [PF16931.8]						0.0	2.0	2.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_31	17371	17739	+		C	prg:RB151_033090		prg:RB151_033090  hypothetical protein	False	0.82	208.0	6.513e-60																				0.0	2.0	2.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_32	17736	18230	+		C	pala:CO695_17700		pala:CO695_17700  TIGR02594 family protein	False	0.672	222.0	1.0040000000000001e-63	YP_009788036.1	YP_009788036.1 putative peptidoglycan hydrolase [Pectobacterium phage PP101]	False	0.604	195.0	1.289e-56														0.0	0.0	2.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_33	18232	18609	+		C	prg:RB151_033070		prg:RB151_033070  hypothetical protein	False	0.852	223.0	6.304e-65																				0.0	1.0	1.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_34	19448	19987	+		C	psi:S70_04560		psi:S70_04560  hypothetical protein	False	0.427	129.0	1.986e-31																				0.0	2.0	1.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_35	19989	20210	+		E																											0.0	2.0	1.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_36	20635	21138	+		C	raa:Q7S_23171		raa:Q7S_23171  hypothetical protein	False	0.743	249.0	2.951e-73	YP_001700562.1	YP_001700562.1 bacteriophage terminase, small subunit [Salmonella phage Fels-1]	False	0.463	131.0	2.1730000000000003e-34								Protein of unknown function (DUF1441) [PF07278.14]			VOG00219	sp|P03707|TERS_LAMBD Terminase small subunit; XhXr	Xr;Xh	0.0	1.0	1.0	False	V								
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_37	21135	21662	+		C	srr:SerAS9_3419		srr:SerAS9_3419  terminase GpA	False	0.824	269.0	8.253e-80	YP_001700563.1	YP_001700563.1 bacteriophage terminase, large subunit [Salmonella phage Fels-1]	False	0.685	217.0	6.174e-64								Phage terminase large subunit gpA, ATPase domain [PF05876.15]			VOG23037	REFSEQ terminase large subunit; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_38	21619	23253	+		C	ete:ETEE_0519		ete:ETEE_0519  Phage terminase, large subunit	False	0.737	760.0	9.715e-243	YP_001700675.1	YP_001700675.1 bacteriophage DNA packaging protein; terminase, large subunit [Phage Gifsy-2]	False	0.737	750.0	1.564e-241								Terminase large subunit gpA, endonuclease domain [PF20454.1]; Phage terminase large subunit gpA, ATPase domain [PF05876.15]			VOG03515	REFSEQ terminase large subunit; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_39	23250	23465	+		C	koc:AB185_14095		koc:AB185_14095  hypothetical protein	False	0.579	81.0	1.03e-16														Family of unknown function (DUF6148) [PF19645.2]			VOG04297	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_40	23462	24967	+		C	srr:SerAS9_3417		srr:SerAS9_3417  phage portal protein, lambda family	False	0.754	745.0	2.2579999999999997e-238	YP_001700677.1	YP_001700677.1 bacteriophage portal protein [Phage Gifsy-2]	False	0.677	653.0	1.284e-208								Phage portal protein, lambda family [PF05136.16]			VOG00946	sp|P36272|PORTL_BPP21 Portal protein B; XpXrXs	Xp;Xr;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_41	24975	26966	+		C	rah:Rahaq_4520		rah:Rahaq_4520  peptidase S14 ClpP	False	0.68	891.0	4.35e-286	YP_001700566.1	YP_001700566.1 putative Clp protease [Salmonella phage Fels-1]	False	0.64	855.0	1.8220000000000002e-275	MER0248681	S14	MER0248681 - family S14 non-peptidase homologues (Serratia sp. AS12) [S14.UNW]#S14#{peptidase unit: 35-668}~source YP_004501835~	False	0.669	846.0	4.875e-272	Clp protease [PF00574.26]; Mu-like prophage major head subunit gpT [PF10124.12]; Serine dehydrogenase proteinase [PF01972.19]			VOG06264	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xh;Xs	0.0	0.0	1.0	False	VP								
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_42	27052	27402	+		C	enf:AKI40_2488		enf:AKI40_2488  putative membrane protein	False	0.454	91.0	2.091e-19	YP_001700567.1	YP_001700567.1 hypothetical protein STM0912.2n.Fels1 [Salmonella phage Fels-1]	False	0.431	84.0	7.184e-19								Uncharacterized conserved protein (DUF2190) [PF09956.12]			VOG01177	REFSEQ DUF2190 family protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_43	27406	27702	+		C	raa:Q7S_08820		raa:Q7S_08820  hypothetical protein	False	0.633	113.0	1.898e-27	YP_001700680.1	YP_001700680.1 conserved hypothetical bacteriophage protein [Phage Gifsy-2]	False	0.469	84.0	2.419e-19								ATP-binding sugar transporter from pro-phage [PF13856.9]			VOG09870	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_44	27686	28243	+		C	srr:SerAS9_3413		srr:SerAS9_3413  Prophage minor tail Z family protein	False	0.597	212.0	6.819e-60	YP_001700604.1	YP_001700604.1 bacteriophage head-tail assembly protein; Lambda gpZ homolog [Phage Gifsy-1]	False	0.491	173.0	1.08e-48								Prophage minor tail protein Z (GPZ) [PF06763.14]			VOG00349	sp|O64325|COMPL_BPN15 Tail completion protein; XhXs	Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_45	28243	28641	+		C	raa:Q7S_23121		raa:Q7S_23121  minor tail U	False	0.533	138.0	3.735e-35	YP_009909503.1	YP_009909503.1 Phage Tc1 tail completion protein [Escherichia virus Lambda_1H12]	False	0.505	126.0	4.1229999999999995e-33								Phage minor tail protein U [PF06141.14]			VOG07925	sp|O64326|TTTP_BPN15 Tail tube terminator protein; XhXpXrXs	Xp;Xr;Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_46	28653	29165	+		C	enc:ECL_01707		enc:ECL_01707  gp13	False	0.721	222.0	1.319e-63	YP_009909504.1	YP_009909504.1 Putative tail component of prophage CP-933K [Escherichia virus Lambda_1H12]	False	0.673	205.0	8.693e-60								Lambda phage tail tube protein, TTP [PF16461.8]						0.0	0.0	1.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_47	29372	29884	+		C	ecf:ECH74115_2898		ecf:ECH74115_2898  KilA-N domain protein	False	0.407	121.0	1.403e-28														KilA-N domain [PF04383.16]						0.0	1.0	1.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_48	29929	30306	+		C	eln:NRG857_07715		eln:NRG857_07715  putative tail component of prophage CP-933K	False	0.396	77.0	2.594e-14	YP_001700684.1	YP_001700684.1 bacteriophage tail assembly chaperone; Lambda gpG homolog [Phage Gifsy-2]	False	0.327	70.0	6.386e-14								Bacteriophage lambda tail assembly chaperone, TAC, protein G [PF06894.14]			VOG07926	sp|O64328|G_BPN15 Tail assembly protein G; XhXrXs	Xr;Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_49	30330	30644	+		C	stm:STM0917		stm:STM0917  putative Fels-1 prophage minor tail protein	False	0.516	96.0	2.033e-21	YP_001700573.1	YP_001700573.1 putative minor tail protein [Salmonella phage Fels-1]	False	0.516	96.0	1.727e-23								Minor tail protein T [PF06223.15]						0.0	2.0	1.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_50	30619	33615	+		A	pmr:PMI0519		pmr:PMI0519  putative phage tail tape measure protein	True	0.469	615.0	1.83e-185	YP_001700598.1	YP_001700598.1 bacteriophage tail tape measure protein; minor tail protein; Lambda gpH homolog [Phage Gifsy-1]	True	0.315	497.0	2.227e-147								Prophage tail length tape measure protein [PF06791.16]; Lambda phage tail tape-measure protein (Tape_meas_lam_C) [PF09718.13]			VOG01399	sp|Q6XQC4|TMP_BPT1 Tape measure protein; XpXrXs	Xp;Xr;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_51	33659	33988	+		C	seb:STM474_2702		seb:STM474_2702  phage tail component M-like protein	False	0.559	117.0	1.8240000000000002e-28	YP_001700597.1	YP_001700597.1 bacteriophage tail tip assembly protein; Lambda gpM homolog [Phage Gifsy-1]	False	0.559	117.0	1.55e-30								Phage minor tail protein [PF05939.16]			VOG01442	sp|P03737|TIPM_LAMBD Tail tip protein M; XhXpXrXs	Xp;Xr;Xh;Xs	0.0	2.0	1.0	False	V								
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_52	34058	34636	+		C	xho:A9255_05960		xho:A9255_05960  hypothetical protein	False	0.499	180.0	8.089e-49														zinc-ribbon domain [PF13248.9]						0.0	2.0	1.0	False									
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_53	34694	35392	+		C	stm:STM0921		stm:STM0921  putative Fels-1 prophage minor tail protein	False	0.632	289.0	1.126e-85	YP_001700577.1	YP_001700577.1 putative bacteriophage minor tail protein; Lambda gpL homolog [Salmonella phage Fels-1]	False	0.632	289.0	9.568e-88								Phage minor tail protein L [PF05100.15]			VOG00348	sp|O64332|TIPL_BPN15 Tail tip protein L; XhXpXrXs	Xp;Xr;Xh;Xs	0.0	2.0	1.0	False	V								
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_54	35401	36129	+		C	ecs:ECs2946		ecs:ECs2946  tail assembly protein	False	0.673	323.0	1.609e-97	YP_009909511.1	YP_009909511.1 Phage tail assembly protein [Escherichia virus Lambda_1H12]	False	0.655	314.0	2.622e-96	MER0160909	C40	MER0160909 - family C40 unassigned peptidases (Salmonella typhimurium) [C40.UPW]#C40#{peptidase unit: 99-197}~source NP_460021~	False	0.709	142.0	2.043e-36	Prokaryotic homologs of the JAB domain [PF14464.9]; NlpC/P60 family [PF00877.22]						0.0	0.0	1.0	False	P								
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_55	36072	36689	+		C	etc:ETAC_11695		etc:ETAC_11695  phage tail assembly protein	False	0.578	225.0	4.98e-64	YP_001700594.1	YP_001700594.1 bacteriophage tail tip assembly protein; Lambda gpI homolog [Phage Gifsy-1]	False	0.557	212.0	1.378e-61								Bacteriophage lambda tail assembly protein I [PF06805.15]			VOG02548	sp|O64334|TIPI_BPN15 Tail tip assembly protein I; XhXs	Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_56	36692	41920	+		A	etc:ETAC_11690		etc:ETAC_11690  phage-related protein, tail component	True	0.518	931.0	7.351999999999999e-283	YP_009909728.1	YP_009909728.1 Phage tail fiber protein [Escherichia phage 2H10]	True	0.564	906.0	1.56e-276								Domain of unknown function (DUF1983) [PF09327.14]; Putative phage tail protein [PF13550.9]; Fibronectin type III protein [PF12421.11]			VOG00029	sp|Q6QGE9|BPPB3_BPT5 Probable baseplate hub protein; XhXs	Xh;Xs	0.0	0.0	1.0	False	VF								
DRAMv	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455	Sample_46_contig_1_0_partial_1__excised_start_1_end_43448_len_74455_57	41988	43448	+		C	psi:S70_04450		psi:S70_04450  hypothetical protein	False	0.561	498.0	2.382e-153	YP_009599166.1	YP_009599166.1 tail fiber protein [Providencia phage vB_PreS_PR1]	False	0.436	246.0	7.208e-69											VOG00255	sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein; XpXs	Xp;Xs	0.0	0.0	5.0	False	VF								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_1	1	348	-		C	prg:RB151_021770		prg:RB151_021770  hypothetical protein	False	1.0	247.0	1.2109999999999999e-73																				1.0	2.0	5.0	False	F								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_2	492	1523	-		A	ent:Ent638_2113		ent:Ent638_2113  methionine synthase (B12-independent)	True	0.929	670.0	1.632e-215														Cobalamin-independent synthase, Catalytic domain [PF01717.21]						0.0	2.0	4.0	False	MKF								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_3	1553	2530	-		A	prg:RB151_021740		prg:RB151_021740  hypothetical protein	True	0.906	617.0	1.537e-197														Putative oxygenase MesX [PF08908.14]						0.0	2.0	4.0	False	F								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_4	3526	4053	+		E																											0.0	2.0	4.0	False	F								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_5	4055	4612	+		C	azi:AzCIB_3421		azi:AzCIB_3421  hypothetical protein	False	0.393	123.0	3.797e-29																				0.0	2.0	4.0	False	F								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_6	4860	5375	-		C	yen:YE2352		yen:YE2352  hypothetical protein	False	0.387	114.0	3.0410000000000005e-26																				0.0	2.0	4.0	False	F								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_7	5428	5676	-		C	prg:RB151_021710		prg:RB151_021710  DNA-binding transcriptional regulator	False	0.938	164.0	3.059e-45	YP_009877420.1	YP_009877420.1 hypothetical protein HYP18_gp31 [Escherichia virus P88-4B11]	False	0.411	61.0	2.188e-11								Ogr/Delta-like zinc finger [PF04606.15]			VOG10404	sp|P08711|VPB_BP186 Late control gene B protein; Xh	Xh	0.0	1.0	4.0	False									
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_8	5722	6828	-		C	prg:RB151_021690		prg:RB151_021690  Phage late control gene D protein (GPD)	False	0.931	581.0	2.268e-184	YP_009877419.1	YP_009877419.1 Gene D protein [Escherichia virus P88-4B11]	False	0.695	482.0	2.87e-152								Phage tail baseplate hub (GPD) [PF05954.14]			VOG01510	sp|P21679|BPD_BP186 Probable baseplate hub protein; XhXs	Xh;Xs	0.0	0.0	2.0	False	V								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_9	6987	8153	+		C	dzc:W909_12820		dzc:W909_12820  tail protein	False	0.663	506.0	7.045e-158	YP_009877418.1	YP_009877418.1 Phage tail sheath monomer [Escherichia virus P88-4B11]	False	0.63	479.0	1.589e-150								Phage tail sheath protein subtilisin-like domain [PF04984.17]; Phage tail sheath C-terminal domain [PF17482.5]			VOG00421	sp|P85225|VPN1_BPPHE Putative tail sheath protein; Xs	Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_10	8166	8678	+		C	mmk:MU9_2061		mmk:MU9_2061  hypothetical protein	False	0.781	273.0	1.485e-81	YP_009877417.1	YP_009877417.1 Phage major tail tube protein [Escherichia virus P88-4B11]	False	0.515	165.0	4.265e-46								Phage tail tube protein FII [PF04985.17]			VOG10403	sp|P22502|TUBE_BPP2 Tail tube protein; XhXpXrXs	Xp;Xr;Xh;Xs	0.0	2.0	1.0	False	V								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_11	8739	9041	+		C	mmk:MU9_2060		mmk:MU9_2060  hypothetical protein	False	0.576	110.0	2.619e-26	YP_009877323.1	YP_009877323.1 GpE+E' [Escherichia virus P2-4E6b]	False	0.426	70.0	2.357e-14											VOG02555	sp|O64312|TAPFS_BPP2 Tail assembly protein E'; XhXrXs	Xr;Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_12	9187	12057	+		C	mmk:MU9_2059		mmk:MU9_2059  hypothetical protein	False	0.555	1013.0	1e-322	YP_009877414.1	YP_009877414.1 Phage protein [Escherichia virus P88-4B11]	False	0.36	563.0	2.1939999999999998e-170								Phage-related minor tail protein [PF10145.12]			VOG00103	sp|O64314|TMP_BPP2 Probable tape measure protein; Xs	Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_13	12061	12501	+		C	prg:RB151_021670		prg:RB151_021670  Phage P2 GpU	False	0.932	276.0	7.208e-83	YP_009877413.1	YP_009877413.1 putative tail protein [Escherichia virus P88-4B11]	False	0.654	187.0	3.153e-54								Phage P2 GpU [PF06995.14]						0.0	0.0	1.0	False									
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_14	12614	13096	-		C	psts:E05_27130		psts:E05_27130  hypothetical protein	False	0.46	132.0	7.472e-33														Family of unknown function (DUF6650) [PF20355.1]						0.0	2.0	1.0	False									
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_15	13727	14773	+		C	sfo:Z042_00590		sfo:Z042_00590  hypothetical protein	False	0.328	156.0	4.799e-38																				0.0	2.0	1.0	False									
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_16	14806	15156	-		C	prg:RB151_021640		prg:RB151_021640  Caudovirales tail fiber assembly protein	False	0.716	167.0	1.26e-45	YP_007348955.1	YP_007348955.1 putative tail assembly chaperone [Edwardsiella phage MSW-3]	False	0.415	84.0	5.238e-19								Caudovirales tail fibre assembly protein, lambda gpK [PF02413.20]			VOG00416	sp|P03740|TFA_LAMBD Tail fiber assembly protein; Xs	Xs	0.0	2.0	1.0	False	V								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_17	15156	16808	-		C	pct:PC1_2656		pct:PC1_2656  tail fiber repeat 2 protein	False	0.589	510.0	1.8870000000000001e-156	YP_001718729.1	YP_001718729.1 P2 gpH-like protein [Salmonella virus Fels2]	False	0.72	221.0	6.928999999999999e-60								Phage tail-collar fibre protein [PF12571.11]			VOG00859	REFSEQ hypothetical protein; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_18	16805	17416	-		C	pala:CO695_00965		pala:CO695_00965  phage tail protein I	False	0.896	381.0	2.7639999999999998e-118	YP_001718730.1	YP_001718730.1 P2 gpI-like baseplate assembly protein [Salmonella virus Fels2]	False	0.643	257.0	3.204e-77								Phage tail protein (Tail_P2_I) [PF09684.13]			VOG02675	sp|P26701|BPI_BPP2 Baseplate protein I; XhXs	Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_19	17409	18320	-		C	prg:RB151_043630		prg:RB151_043630  Baseplate J-like protein	False	0.913	580.0	4.04e-185	YP_009877228.1	YP_009877228.1 Baseplate assembly protein J [Escherichia virus P2-4B2]	False	0.633	374.0	8.663000000000003e-116								Baseplate J-like protein [PF04865.17]			VOG02386	sp|P51767|BPJ_BPP2 Baseplate protein J; XhXs	Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_20	18323	18664	-		C	pant:PSNIH1_03340		pant:PSNIH1_03340  baseplate assembly protein	False	0.662	147.0	8.01e-39	YP_009877140.1	YP_009877140.1 Phage baseplate assembly protein W [Escherichia virus P2-2H4]	False	0.624	137.0	1.8429999999999999e-37								Baseplate wedge protein gp25 [PF04965.17]			VOG02482	sp|P09425|BP25_BPT4 Baseplate wedge protein gp25; XhXs	Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_21	18661	19290	-		C	mmk:MU9_2050		mmk:MU9_2050  hypothetical protein	False	0.622	256.0	6.743e-75	YP_009877182.1	YP_009877182.1 Baseplate assembly protein V [Escherichia virus P2-2H1]	False	0.598	244.0	1.368e-72								Type VI secretion system/phage-baseplate injector OB domain [PF04717.15]; Phage spike trimer [PF18715.4]			VOG00239	sp|P31340|SPIKE_BPP2 Spike protein; XhXpXs	Xp;Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_22	19287	19925	-		C	mmk:MU9_2049		mmk:MU9_2049  hypothetical protein	False	0.675	276.0	1.1079999999999998e-81	YP_009877403.1	YP_009877403.1 Ne1 Phage neck protein [Escherichia virus P88-4B11]	False	0.461	154.0	2.1439999999999997e-41								Phage virion morphogenesis family [PF05069.16]			VOG00841	sp|P36934|VPS_BPP2 Tail completion protein S; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_23	19918	20370	-		C	raq:Rahaq2_3319		raq:Rahaq2_3319  P2 phage tail completion protein R (GpR)	False	0.483	134.0	1.395e-33	YP_009877402.1	YP_009877402.1 Tc1 Phage tail completion protein [Escherichia virus P88-4B11]	False	0.371	88.0	1.168e-19								P2 phage tail completion protein R (GpR) [PF06891.14]			VOG07855	sp|P36933|VPR_BPP2 Tail completion protein R; Xu	Xu	0.0	0.0	1.0	False									
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_24	20370	20540	-		E																											0.0	2.0	1.0	False									
DRAMv	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004	Sample_46_contig_1_1_partial_1__excised_start_1_end_38856_len_71004_25	20537	21091	-		C	xne:XNC1_1187		xne:XNC1_1187  hypothetical protein	False	0.38	105.0	6.63e-23	YP_010078893.1	YP_010078893.1 lysis protein [Klebsiella phage SopranoGao]	False	0.287	76.0	4.202e-15								Bacteriophage Rz lysis protein [PF03245.16]			VOG00550	sp|P10305|SPAN1_BPT3 Spanin, inner membrane subunit; XhXp	Xp;Xh	0.0	1.0	1.0	False									
